event_id,feeder_id,trip_start_time,trip_end_time,fault_description
EVT_000001,FDR_002,14/10/2000 10:00,14/10/2000 17:00,Cable joint failure suspected
EVT_000002,FDR_023,13/12/2000 04:00,13/12/2000 10:00,HV trip – limited historical detail
EVT_000003,FDR_002,22/09/2000 12:00,22/09/2000 21:00,UG cable insulation breakdown
EVT_000004,FDR_005,30/09/2000 10:00,30/09/2000 19:00,Insulator failure reported on cross-arm
EVT_000005,FDR_002,10/03/2000 14:00,11/03/2000 01:00,Conductor damage mid span
EVT_000006,FDR_023,08/12/2000 14:00,08/12/2000 19:00,HV trip – limited historical detail
EVT_000007,FDR_017,20/09/2000 17:00,20/09/2000 20:00,Cable joint failure suspected
EVT_000008,FDR_019,23/06/2000 02:00,23/06/2000 07:00,HV trip – limited historical detail
EVT_000009,FDR_013,23/01/2000 16:00,23/01/2000 18:00,"HV trip – cause unclear, no defects found"
EVT_000010,FDR_001,09/04/2000 08:00,09/04/2000 18:00,HV trip – limited historical detail
EVT_000011,FDR_005,30/09/2000 04:00,30/09/2000 17:00,Unknown cause – reset successful
EVT_000012,FDR_009,22/10/2000 15:00,22/10/2000 21:00,Cable joint failure suspected
EVT_000013,FDR_020,21/11/2000 00:00,21/11/2000 13:00,UG cable strike during excavation works
EVT_000014,FDR_019,03/03/2000 22:00,03/03/2000 23:00,HV trip – limited historical detail
EVT_000015,FDR_014,10/06/2000 11:00,10/06/2000 15:00,Squirrel on cross-arm causing fault
EVT_000016,FDR_006,14/07/2000 01:00,14/07/2000 15:00,HV trip – limited historical detail
EVT_000017,FDR_018,11/07/2000 11:00,11/07/2000 13:00,"HV trip – cause unclear, no defects found"
EVT_000018,FDR_020,13/06/2000 01:00,13/06/2000 08:00,HV trip – limited historical detail
EVT_000019,FDR_025,27/12/2000 10:00,27/12/2000 14:00,Squirrel on cross-arm causing fault
EVT_000020,FDR_012,07/05/2000 22:00,08/05/2000 06:00,HV trip – limited historical detail
EVT_000020_DUP,FDR_012,07/05/2000 22:02,08/05/2000 06:00,Duplicate trip record from control system
EVT_000021,FDR_004,11/01/2000 13:00,12/01/2000 00:00,Bird strike on overhead conductor
EVT_000021_DUP,FDR_004,11/01/2000 13:02,12/01/2000 00:00,Duplicate trip record from control system
